targetType,tLines,tLumin
3,685,20396.175
4,491,13607.478
1,230,6698.196
2,752,13339.378
3,358,30516.626
4,232,9372.424
1,298,18506.823
2,577,5360.047
3,456,9040.159
4,207,5515.816
1,216,11431.682
2,467,5073.789
3,398,8621.214
4,321,9468.883
1,295,11110.612
2,820,8479.261
3,360,22949
4,678,3488.251
1,748,10779.663
2,572,7807.941
3,298,12725.323
4,290,20639.591
1,452,4371.273
2,552,15625.316
3,155,14792.948
4,225,7755.948
1,141,1307.966
2,494,12045.659
3,554,16760.152
4,242,13430.264
1,407,8062.174
2,427,8139.541
3,343,14222.618
4,175,7143.681
1,568,8586.187
2,348,9712.569
3,388,13241.107
4,302,8353.166
1,458,6475.058
2,566,9268.918
3,188,6929.287
4,267,9720.896
1,321,5016.024
2,488,16154.6
3,109,17002.006
4,279,13118.423
1,168,30224.855
2,835,7253.069
3,310,13763.352
4,266,6857.79
1,323,8165.864
2,705,10814.117
3,628,15690.958
4,148,13006.865
1,477,6431.178
1,389,8062.174
2,263,10692.13
3,278,14096.07
4,168,7143.681
1,368,17196.129
2,725,15666.942
3,190,9405.007
4,368,11070.529
1,286,20451.329
2,566,12092.548
3,404,13710.409
4,212,9605.246
1,338,7980.104
2,357,2765.295
3,244,8621.41
4,319,12143.768
1,471,5172.79
2,262,1128.941
3,141,16388.967
4,262,13118.423
1,274,10233.342
2,327,7171.92
3,189,17484.325
4,154,13372.563
1,289,11110.612
2,366,9909.768
3,782,9510.534
4,215,4710.454
1,415,4371.273
2,586,5360.047
3,303,12725.323
4,503,9223.541
1,376,493.714
2,500,14388.355
3,351,18026.669
4,412,10327.337
1,509,13216.475
2,448,5073.789
3,400,9174.595
4,245,13804.543
1,657,4599.016
2,488,4317.645
3,362,10693.05
4,116,9861.54
1,354,12230.855
2,453,2822.448
3,267,13761.214
4,115,17558.705
1,512,9436.393
2,469,15448.591
3,670,8023.468
4,315,9919.672
1,472,10341.411
2,389,16639.993
3,174,11532.405
4,263,9720.896
1,333,12592.416
2,561,12849.486
3,175,6562.099
4,473,9826.657
1,577,6743.283
2,477,2639.805
3,579,17227.416
4,268,18739.828
1,549,12853.848
2,255,4774.584
3,172,8338.66
4,661,2403.902
1,325,5016.024
2,305,8543.864
3,364,18026.669
4,36,12069.174
1,304,4218.416
2,471,6108.076
3,663,8023.468
4,951,10110.903
1,153,30224.855
2,650,7149.01
3,254,7464.547
4,368,12533.849
1,283,13479.793
2,609,3623.031
3,366,4339.06
4,355,1042.472
1,441,286.006
2,359,2765.295
3,160,28355.308
4,677,7193.37
1,500,7780.526
2,271,10692.13
3,172,11532.405
4,149,13793.922
1,460,11448.537
2,365,6353.912
3,284,15705.997
4,407,11147.852
1,297,11110.612
2,383,16639.993
3,317,4230.533
4,324,14548.908
1,404,12918.743
2,464,2639.805
3,218,6157.535
4,258,13430.264
1,215,13318.802
2,658,11481.401
3,196,19983.756
4,461,9826.657
1,484,5172.79
2,447,17156.437
3,492,12377.681
4,247,13804.543
1,436,10201.611
2,823,7253.069
3,370,30516.626
4,363,11070.529
1,399,493.714
2,631,9914.319
3,127,9307.955
4,41,13184.952
1,367,13184.203
2,528,15625.316
1,346,12230.855
2,350,2045.042
3,373,30516.626
4,224,8007.272
1,437,286.006
2,452,4835.154
3,369,4533.367
4,233,11012.303
1,508,10435.932
2,437,11128.68
3,330,22949
4,123,8022.351
1,369,10068.995
2,738,13339.378
3,329,14222.618
4,712,7193.37
1,363,493.714
2,306,8543.864
3,225,7663.41
4,262,6857.79
1,452,5172.79
2,489,1641.57
3,254,15220.02
4,684,4531.433
1,636,21051.232
2,583,9914.319
3,203,19983.756
4,376,12533.849
1,286,10830.079
2,460,17156.437
3,266,4443.074
4,484,9223.541
1,554,12853.848
2,627,5317.93
3,213,8309.025
4,248,13804.543
1,454,11364.888
2,388,5445.016
3,281,12725.323
4,119,17558.705
1,553,6743.283
2,461,4479.46
3,921,11738.904
4,217,9605.246
1,470,5023.052
2,423,5445.016
3,420,10450.121
4,220,4710.454
1,319,9476.044
2,653,7149.01
3,215,8309.025
4,671,4531.433
1,551,8586.187
2,737,10814.117
3,174,956.864
4,293,8353.166
1,530,5231.822
2,226,6869.035
3,200,9405.007
4,301,9919.672
1,263,10233.342
2,456,7485.678
3,274,14096.07
4,216,7755.948
1,457,11364.888
2,318,1781.324
3,267,15220.02
4,409,10327.337
1,101,21161.295
2,625,5360.047
3,146,14792.948
4,664,2403.902
1,267,13479.793
2,359,9685.368
3,217,7663.41
4,288,12143.768
1,422,7001.592
2,700,12009.704
3,232,5281.47
4,282,5295.048
1,198,1154.824
2,368,16639.993
3,177,6562.099
4,266,6857.79
1,369,13184.203
2,568,12092.548
3,258,4443.074
4,311,13927.657
1,328,12592.416
2,542,484.645
3,797,9510.534
4,669,7737.035
1,415,13299.168
2,469,4479.46
3,655,15690.958
4,150,13006.865
1,387,5367.04
2,487,16154.6
3,692,20396.175
4,224,4285.982
1,466,2814.977
2,266,4774.584
3,375,4533.367
4,252,13430.264
1,253,1162.82
2,550,13813.82
3,577,17227.416
4,194,13881.422
1,448,286.006
2,600,9914.319
3,316,4230.533
4,569,10792.894
1,728,10779.663
2,596,9355.215
